LOCATION,Reporter country,FLOW,Flow,PARTNER,Partner country,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,Value
AUS,Australia,EXP,Exports,AUT,Austria,A,Annual,2011,2011,USD,US Dollar,73144918
AUS,Australia,EXP,Exports,AUT,Austria,A,Annual,2012,2012,USD,US Dollar,71483059
AUS,Australia,EXP,Exports,AUT,Austria,A,Annual,2013,2013,USD,US Dollar,67897422
AUS,Australia,EXP,Exports,AUT,Austria,A,Annual,2014,2014,USD,US Dollar,61114752
AUS,Australia,EXP,Exports,AUT,Austria,A,Annual,2015,2015,USD,US Dollar,54730242
AUS,Australia,EXP,Exports,AUT,Austria,A,Annual,2016,2016,USD,US Dollar,25706711
AUS,Australia,EXP,Exports,AUT,Austria,A,Annual,2017,2017,USD,US Dollar,34765478
AUS,Australia,EXP,Exports,AUT,Austria,A,Annual,2018,2018,USD,US Dollar,27167959
AUS,Australia,EXP,Exports,AUT,Austria,A,Annual,2019,2019,USD,US Dollar,21381536
AUS,Australia,EXP,Exports,AUT,Austria,A,Annual,2020,2020,USD,US Dollar,26421911
AUS,Australia,EXP,Exports,BEL,Belgium,A,Annual,2011,2011,USD,US Dollar,1237897212
AUS,Australia,EXP,Exports,BEL,Belgium,A,Annual,2012,2012,USD,US Dollar,1434062444
AUS,Australia,EXP,Exports,BEL,Belgium,A,Annual,2013,2013,USD,US Dollar,1049939589
AUS,Australia,EXP,Exports,BEL,Belgium,A,Annual,2014,2014,USD,US Dollar,915627559
AUS,Australia,EXP,Exports,BEL,Belgium,A,Annual,2015,2015,USD,US Dollar,835177781
AUS,Australia,EXP,Exports,BEL,Belgium,A,Annual,2016,2016,USD,US Dollar,638302640
AUS,Australia,EXP,Exports,BEL,Belgium,A,Annual,2017,2017,USD,US Dollar,889526722
AUS,Australia,EXP,Exports,BEL,Belgium,A,Annual,2018,2018,USD,US Dollar,723467779
AUS,Australia,EXP,Exports,BEL,Belgium,A,Annual,2019,2019,USD,US Dollar,951587662
AUS,Australia,EXP,Exports,BEL,Belgium,A,Annual,2020,2020,USD,US Dollar,600818980
AUS,Australia,EXP,Exports,CAN,Canada,A,Annual,2011,2011,USD,US Dollar,1288512980
AUS,Australia,EXP,Exports,CAN,Canada,A,Annual,2012,2012,USD,US Dollar,1374379463
AUS,Australia,EXP,Exports,CAN,Canada,A,Annual,2013,2013,USD,US Dollar,1053995699
AUS,Australia,EXP,Exports,CAN,Canada,A,Annual,2014,2014,USD,US Dollar,1014606743
AUS,Australia,EXP,Exports,CAN,Canada,A,Annual,2015,2015,USD,US Dollar,984218353
AUS,Australia,EXP,Exports,CAN,Canada,A,Annual,2016,2016,USD,US Dollar,1185141298
AUS,Australia,EXP,Exports,CAN,Canada,A,Annual,2017,2017,USD,US Dollar,1100783741
AUS,Australia,EXP,Exports,CAN,Canada,A,Annual,2018,2018,USD,US Dollar,1417549727
AUS,Australia,EXP,Exports,CAN,Canada,A,Annual,2019,2019,USD,US Dollar,1520372761
AUS,Australia,EXP,Exports,CAN,Canada,A,Annual,2020,2020,USD,US Dollar,1446602753
AUS,Australia,EXP,Exports,CZE,Czech Republic,A,Annual,2011,2011,USD,US Dollar,116485473
AUS,Australia,EXP,Exports,CZE,Czech Republic,A,Annual,2012,2012,USD,US Dollar,108516181
AUS,Australia,EXP,Exports,CZE,Czech Republic,A,Annual,2013,2013,USD,US Dollar,108137231
AUS,Australia,EXP,Exports,CZE,Czech Republic,A,Annual,2014,2014,USD,US Dollar,108056992
AUS,Australia,EXP,Exports,CZE,Czech Republic,A,Annual,2015,2015,USD,US Dollar,104264230
AUS,Australia,EXP,Exports,CZE,Czech Republic,A,Annual,2016,2016,USD,US Dollar,107411622
AUS,Australia,EXP,Exports,CZE,Czech Republic,A,Annual,2017,2017,USD,US Dollar,132242671
AUS,Australia,EXP,Exports,CZE,Czech Republic,A,Annual,2018,2018,USD,US Dollar,137272057
AUS,Australia,EXP,Exports,CZE,Czech Republic,A,Annual,2019,2019,USD,US Dollar,91102266
AUS,Australia,EXP,Exports,CZE,Czech Republic,A,Annual,2020,2020,USD,US Dollar,70170344
AUS,Australia,EXP,Exports,DNK,Denmark,A,Annual,2011,2011,USD,US Dollar,159664597
AUS,Australia,EXP,Exports,DNK,Denmark,A,Annual,2012,2012,USD,US Dollar,149572802
AUS,Australia,EXP,Exports,DNK,Denmark,A,Annual,2013,2013,USD,US Dollar,99554816
AUS,Australia,EXP,Exports,DNK,Denmark,A,Annual,2014,2014,USD,US Dollar,102187456
AUS,Australia,EXP,Exports,DNK,Denmark,A,Annual,2015,2015,USD,US Dollar,90742346
AUS,Australia,EXP,Exports,DNK,Denmark,A,Annual,2016,2016,USD,US Dollar,98667471
AUS,Australia,EXP,Exports,DNK,Denmark,A,Annual,2017,2017,USD,US Dollar,120178953
AUS,Australia,EXP,Exports,DNK,Denmark,A,Annual,2018,2018,USD,US Dollar,71439422
AUS,Australia,EXP,Exports,DNK,Denmark,A,Annual,2019,2019,USD,US Dollar,84846888
AUS,Australia,EXP,Exports,DNK,Denmark,A,Annual,2020,2020,USD,US Dollar,79985247
AUS,Australia,EXP,Exports,FIN,Finland,A,Annual,2011,2011,USD,US Dollar,156250813
AUS,Australia,EXP,Exports,FIN,Finland,A,Annual,2012,2012,USD,US Dollar,124116206
AUS,Australia,EXP,Exports,FIN,Finland,A,Annual,2013,2013,USD,US Dollar,65446639
AUS,Australia,EXP,Exports,FIN,Finland,A,Annual,2014,2014,USD,US Dollar,42513376
AUS,Australia,EXP,Exports,FIN,Finland,A,Annual,2015,2015,USD,US Dollar,27181775
AUS,Australia,EXP,Exports,FIN,Finland,A,Annual,2016,2016,USD,US Dollar,51571392
AUS,Australia,EXP,Exports,FIN,Finland,A,Annual,2017,2017,USD,US Dollar,44838197
AUS,Australia,EXP,Exports,FIN,Finland,A,Annual,2018,2018,USD,US Dollar,65858076
AUS,Australia,EXP,Exports,FIN,Finland,A,Annual,2019,2019,USD,US Dollar,51883346
AUS,Australia,EXP,Exports,FIN,Finland,A,Annual,2020,2020,USD,US Dollar,95851042
AUS,Australia,EXP,Exports,FRA,France,A,Annual,2011,2011,USD,US Dollar,1092649124
AUS,Australia,EXP,Exports,FRA,France,A,Annual,2012,2012,USD,US Dollar,920409007
AUS,Australia,EXP,Exports,FRA,France,A,Annual,2013,2013,USD,US Dollar,1157545445
AUS,Australia,EXP,Exports,FRA,France,A,Annual,2014,2014,USD,US Dollar,1008819993
AUS,Australia,EXP,Exports,FRA,France,A,Annual,2015,2015,USD,US Dollar,822999663
AUS,Australia,EXP,Exports,FRA,France,A,Annual,2016,2016,USD,US Dollar,778613624
AUS,Australia,EXP,Exports,FRA,France,A,Annual,2017,2017,USD,US Dollar,996745891
AUS,Australia,EXP,Exports,FRA,France,A,Annual,2018,2018,USD,US Dollar,1230485955
AUS,Australia,EXP,Exports,FRA,France,A,Annual,2019,2019,USD,US Dollar,1097210410
AUS,Australia,EXP,Exports,FRA,France,A,Annual,2020,2020,USD,US Dollar,1273458743
AUS,Australia,EXP,Exports,DEU,Germany,A,Annual,2011,2011,USD,US Dollar,1936154361
AUS,Australia,EXP,Exports,DEU,Germany,A,Annual,2012,2012,USD,US Dollar,1678758213
AUS,Australia,EXP,Exports,DEU,Germany,A,Annual,2013,2013,USD,US Dollar,1379235677
AUS,Australia,EXP,Exports,DEU,Germany,A,Annual,2014,2014,USD,US Dollar,1223377143
AUS,Australia,EXP,Exports,DEU,Germany,A,Annual,2015,2015,USD,US Dollar,1136426479
AUS,Australia,EXP,Exports,DEU,Germany,A,Annual,2016,2016,USD,US Dollar,1305684288
AUS,Australia,EXP,Exports,DEU,Germany,A,Annual,2017,2017,USD,US Dollar,1528996710
AUS,Australia,EXP,Exports,DEU,Germany,A,Annual,2018,2018,USD,US Dollar,1679207699
AUS,Australia,EXP,Exports,DEU,Germany,A,Annual,2019,2019,USD,US Dollar,1720758420
AUS,Australia,EXP,Exports,DEU,Germany,A,Annual,2020,2020,USD,US Dollar,2024013945
AUS,Australia,EXP,Exports,GRC,Greece,A,Annual,2011,2011,USD,US Dollar,19066432
AUS,Australia,EXP,Exports,GRC,Greece,A,Annual,2012,2012,USD,US Dollar,26746666
AUS,Australia,EXP,Exports,GRC,Greece,A,Annual,2013,2013,USD,US Dollar,10336313
AUS,Australia,EXP,Exports,GRC,Greece,A,Annual,2014,2014,USD,US Dollar,10971815
AUS,Australia,EXP,Exports,GRC,Greece,A,Annual,2015,2015,USD,US Dollar,10655465
AUS,Australia,EXP,Exports,GRC,Greece,A,Annual,2016,2016,USD,US Dollar,12109822
AUS,Australia,EXP,Exports,GRC,Greece,A,Annual,2017,2017,USD,US Dollar,14759118
AUS,Australia,EXP,Exports,GRC,Greece,A,Annual,2018,2018,USD,US Dollar,23635700
AUS,Australia,EXP,Exports,GRC,Greece,A,Annual,2019,2019,USD,US Dollar,24575950
AUS,Australia,EXP,Exports,GRC,Greece,A,Annual,2020,2020,USD,US Dollar,41086581
AUS,Australia,EXP,Exports,HUN,Hungary,A,Annual,2011,2011,USD,US Dollar,14407675
AUS,Australia,EXP,Exports,HUN,Hungary,A,Annual,2012,2012,USD,US Dollar,12091800
AUS,Australia,EXP,Exports,HUN,Hungary,A,Annual,2013,2013,USD,US Dollar,17604242
AUS,Australia,EXP,Exports,HUN,Hungary,A,Annual,2014,2014,USD,US Dollar,15895085
AUS,Australia,EXP,Exports,HUN,Hungary,A,Annual,2015,2015,USD,US Dollar,19018661
AUS,Australia,EXP,Exports,HUN,Hungary,A,Annual,2016,2016,USD,US Dollar,23712395
AUS,Australia,EXP,Exports,HUN,Hungary,A,Annual,2017,2017,USD,US Dollar,21536287
AUS,Australia,EXP,Exports,HUN,Hungary,A,Annual,2018,2018,USD,US Dollar,27096601
AUS,Australia,EXP,Exports,HUN,Hungary,A,Annual,2019,2019,USD,US Dollar,43047491
AUS,Australia,EXP,Exports,HUN,Hungary,A,Annual,2020,2020,USD,US Dollar,38434561
AUS,Australia,EXP,Exports,ISL,Iceland,A,Annual,2011,2011,USD,US Dollar,3173101
AUS,Australia,EXP,Exports,ISL,Iceland,A,Annual,2012,2012,USD,US Dollar,3662585
AUS,Australia,EXP,Exports,ISL,Iceland,A,Annual,2013,2013,USD,US Dollar,1595961
AUS,Australia,EXP,Exports,ISL,Iceland,A,Annual,2014,2014,USD,US Dollar,3751190
AUS,Australia,EXP,Exports,ISL,Iceland,A,Annual,2015,2015,USD,US Dollar,1546396
AUS,Australia,EXP,Exports,ISL,Iceland,A,Annual,2016,2016,USD,US Dollar,171869094
AUS,Australia,EXP,Exports,ISL,Iceland,A,Annual,2017,2017,USD,US Dollar,187477108
AUS,Australia,EXP,Exports,ISL,Iceland,A,Annual,2018,2018,USD,US Dollar,317806868
AUS,Australia,EXP,Exports,ISL,Iceland,A,Annual,2019,2019,USD,US Dollar,182877459
AUS,Australia,EXP,Exports,ISL,Iceland,A,Annual,2020,2020,USD,US Dollar,39093788
AUS,Australia,EXP,Exports,IRL,Ireland,A,Annual,2011,2011,USD,US Dollar,98727647
AUS,Australia,EXP,Exports,IRL,Ireland,A,Annual,2012,2012,USD,US Dollar,80109612
AUS,Australia,EXP,Exports,IRL,Ireland,A,Annual,2013,2013,USD,US Dollar,64693763
AUS,Australia,EXP,Exports,IRL,Ireland,A,Annual,2014,2014,USD,US Dollar,46337161
AUS,Australia,EXP,Exports,IRL,Ireland,A,Annual,2015,2015,USD,US Dollar,48155631
AUS,Australia,EXP,Exports,IRL,Ireland,A,Annual,2016,2016,USD,US Dollar,77132898
AUS,Australia,EXP,Exports,IRL,Ireland,A,Annual,2017,2017,USD,US Dollar,75282870
AUS,Australia,EXP,Exports,IRL,Ireland,A,Annual,2018,2018,USD,US Dollar,79409751
AUS,Australia,EXP,Exports,IRL,Ireland,A,Annual,2019,2019,USD,US Dollar,62938652
AUS,Australia,EXP,Exports,IRL,Ireland,A,Annual,2020,2020,USD,US Dollar,82702706
AUS,Australia,EXP,Exports,ITA,Italy,A,Annual,2011,2011,USD,US Dollar,1137659617
AUS,Australia,EXP,Exports,ITA,Italy,A,Annual,2012,2012,USD,US Dollar,806268526
AUS,Australia,EXP,Exports,ITA,Italy,A,Annual,2013,2013,USD,US Dollar,661226077
AUS,Australia,EXP,Exports,ITA,Italy,A,Annual,2014,2014,USD,US Dollar,585620238
AUS,Australia,EXP,Exports,ITA,Italy,A,Annual,2015,2015,USD,US Dollar,549864006
AUS,Australia,EXP,Exports,ITA,Italy,A,Annual,2016,2016,USD,US Dollar,507468095
AUS,Australia,EXP,Exports,ITA,Italy,A,Annual,2017,2017,USD,US Dollar,561779131
AUS,Australia,EXP,Exports,ITA,Italy,A,Annual,2018,2018,USD,US Dollar,643205821
AUS,Australia,EXP,Exports,ITA,Italy,A,Annual,2019,2019,USD,US Dollar,466524448
